Date,Stock,close_price
2020-07-06,HGTX3.SA,15.350000381469727
2020-07-06,KLBN11.SA,20.63999938964844
2020-07-06,BEEF3.SA,13.31999969482422
2020-07-06,SBSP3.SA,59.16999816894531
2020-07-06,ELET6.SA,33.759998321533196
2020-07-06,MRVE3.SA,19.059999465942386
2020-07-06,VIVT4.SA,48.93000030517578
2020-07-06,SUZB3.SA,36.900001525878906
2020-07-06,NTCO3.SA,40.65999984741211
2020-07-06,PRIO3.SA,37.15999984741211
2020-07-06,WEGE3.SA,53.20000076293945
2020-07-06,RENT3.SA,43.25
2020-07-06,JBSS3.SA,22.31999969482422
2020-07-06,IGTA3.SA,36.099998474121094
2020-07-06,BBDC4.SA,22.649999618530273
2020-07-06,FLRY3.SA,24.979999542236328
2020-07-06,PETR3.SA,23.149999618530273
2020-07-06,MGLU3.SA,71.98999786376953
2020-07-06,CPFE3.SA,31.489999771118164
2020-07-06,EQTL3.SA,24.149999618530273
2020-07-06,BRKM5.SA,24.1299991607666
2020-07-06,VVAR3.SA,15.960000038146973
2020-07-06,PCAR3.SA,72.7699966430664
2020-07-06,ITUB4.SA,27.729999542236328
2020-07-06,EMBR3.SA,8.470000267028809
2020-07-06,HYPE3.SA,32.61999893188477
2020-07-06,BBSE3.SA,28.03000068664551
2020-07-06,B3SA3.SA,56.52000045776367
2020-07-06,ABEV3.SA,14.359999656677244
2020-07-06,MRFG3.SA,12.619999885559082
2020-07-06,ENGI11.SA,47.25
2020-07-06,GGBR4.SA,16.149999618530273
2020-07-06,BBAS3.SA,34.669998168945305
2020-07-06,CSAN3.SA,76.77999877929688
2020-07-06,CIEL3.SA,4.829999923706055
2020-07-06,ECOR3.SA,14.640000343322756
2020-07-06,YDUQ3.SA,34.959999084472656
2020-07-06,EGIE3.SA,44.560001373291016
2020-07-06,COGN3.SA,7.5999999046325675
2020-07-06,UGPA3.SA,18.540000915527344
2020-07-06,USIM5.SA,7.610000133514403
2020-07-06,CCRO3.SA,15.399999618530273
2020-07-06,CSNA3.SA,11.199999809265137
2020-07-06,RADL3.SA,22.940000534057614
2020-07-06,AZUL4.SA,22.049999237060547
2020-07-06,GNDI3.SA,65.95999908447266
2020-07-06,RAIL3.SA,23.28000068664551
2020-07-06,CRFB3.SA,20.059999465942386
2020-07-06,SULA11.SA,48.06000137329102
2020-07-06,GOAU4.SA,7.360000133514403
2020-07-06,HAPV3.SA,61.0
2020-07-06,CMIG4.SA,10.911199569702148
2020-07-06,BTOW3.SA,118.25
2020-07-06,CVCB3.SA,20.502599716186523
2020-07-06,IRBR3.SA,8.793880462646483
